"Global_x","Global_y","pop_ID"
1009.745483,1883.509033,"Tumor B"
1509.076904,1877.573486,"Tumor B"
1541.291138,1913.822754,"Tumor A"
1433.21167,2007.009033,"Tumor B"
1831.576416,1963.1875,"Tumor B"
1740.149658,1983.346436,"Microglia B"
1710.748535,1907.631592,"Tumor A"
2043.445679,1901.92395,"Tumor B"
2024.090576,1997.637939,"Tumor B"
2010.427856,1953.727295,"Microglia B"
1661.265015,1141.855469,"Tumor B"
1695.151733,1157.528076,"Tumor B"
1612.544556,1111.138672,"Microglia B"
1746.664063,1034.30835,"Tumor B"
1783.851196,1059.314087,"Tumor B"
1758.918457,1008.798889,"Tumor B"
1991.515625,1179.359375,"Tumor B"
1955.190918,1103.805786,"Tumor B"
2038.255615,1294.738892,"Macrophage B"
1945.935791,1177.614624,"Tumor B"
1941.340576,1220.463745,"Tumor B"
1966.837891,1088.916992,"Tumor B"
1922.18396,1233.597656,"Tumor B"
2036.711304,643.3505249,"Tumor B"
1995.134644,631.0961304,"Microglia B"
1993.480225,655.875,"Tumor B"
2000.776489,675.2402344,"Tumor B"
1944.648315,649.3172607,"Tumor B"
1910.666626,603.111084,"Tumor B"
1963.925049,587.5125122,"Tumor B"
1987.575195,599.1416016,"Tumor B"
1847.038818,883.333313,"Tumor B"
1884.704346,845.6792603,"Microglia B"
1857.75,943.5944214,"Tumor B"
1806.176514,884.3582764,"Tumor B"
1886.519775,1109.986816,"Tumor B"
1842.04248,1155.45459,"Tumor B"
2003.509644,687.875,"Tumor B"
1902.962402,479.0601501,"Tumor B"
1912.439453,575.5757446,"Tumor B"
1712.411743,1195.052246,"Tumor B"
1729.916626,1185.416626,"Tumor B"
1467.374146,1204.877686,"Tumor B"
1514.167847,1130.891602,"Tumor A"
1476.491089,1179.348267,"Microglia B"
1402.75415,1291.618896,"Tumor B"
1615.810181,1068.94165,"Tumor B"
1608.231323,1148.649292,"Tumor B"
1609.125,1172.773804,"Microglia B"
832.5474243,1954.978149,"Tumor B"
1075.880737,2010.715942,"Microglia B"
1060.876099,1975.230103,"Tumor B"
1075.886475,1993.730469,"Tumor B"
1210.188965,1880.637817,"Tumor B"
1285.12085,1991.296753,"Tumor A"
1242.325562,1983.302368,"Tumor B"
1267.209839,1942.38269,"Tumor B"
1233.648193,1981.148193,"Tumor B"
1425.588989,1447.479492,"Tumor B"
1625.540283,1541.321899,"Tumor B"
1554.231323,1342.204102,"Tumor B"
1598.262451,1316.921997,"Tumor B"
1673.277832,1417.580811,"Tumor A"
1737.518555,1512.175903,"Microglia B"
1416.486206,1596.266113,"Microglia B"
1389.096802,1594.591431,"Tumor B"
1364.515137,1616.915161,"Microglia B"
1390.161865,1618.182617,"Tumor A"
1440.507568,1567.20813,"Tumor B"
1123.647095,1506.039185,"Tumor B"
1291.176025,1628.599976,"Tumor B"
1207.527466,1686.087891,"Tumor B"
1206.348022,1611.049683,"Tumor B"
1177.963623,1648.918213,"Tumor B"
1159.428589,1702.5,"Tumor B"
1105.179443,1698,"Tumor A"
1134.10376,1594.970337,"Tumor B"
1223.576416,1740.929443,"Tumor B"
1063.175781,1798.496948,"Tumor B"
1116.362793,1834.627441,"Microglia B"
1137,1808.253662,"Tumor B"
1186.797729,1868.063599,"Tumor B"
1171.521729,1890.858643,"Tumor B"
1355.084717,1886.513184,"Tumor B"
1263.723389,1822.154297,"Tumor B"
1410.686768,1528.087402,"Tumor A"
1533.976563,1541.304688,"Tumor B"
1066.289673,1728.308472,"Tumor B"
1082.64917,1723.375,"Tumor B"
1063.432617,1639.634888,"Tumor B"
965.8965454,1942.710327,"Tumor B"
997.9411621,1893.147095,"Tumor B"
1459.992432,2013.09021,"Tumor B"
1959.479004,1995.605225,"Tumor B"
1893.044922,2029.640991,"Tumor B"
1905.416992,1959.042603,"Tumor B"
